ipv4,ipv6,country,region,city,latitude,longitude,serverid,servername,useragent,connectiontype,ispname,ispnameraw,download_kbps,upload_kbps,ping_ms,jitter,testid,resultDate,local_time,download_mbps,upload_mbps,isp
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,312939.0,297276.0,5,0,18390564-338a-bb8d-ja5g-4ddii3deg5a9,2025-10-24 16:45:40+00:00,2025-10-24 23:45:40+07:00,312.939,297.276,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,316327.0,297549.0,7,0,18390627-734a-bb8d-ja6c-7hdee3hhc6a9,2025-10-24 17:01:55+00:00,2025-10-25 00:01:55+07:00,316.327,297.549,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,299107.0,319186.0,6,0,18390640-781a-bb8d-ja6e-0hibb8hae6a9,2025-10-24 17:05:20+00:00,2025-10-25 00:05:20+07:00,299.107,319.186,Viettel Group
,2401:d800:95b0::,Vietnam,Thua Thien Hue,Huế,16.47,107.6,72434,Tam Ky,Chrome,,Viettel,Viettel Group,257165.0,54224.0,27,18,18390702-503a-bb8d-ja7a-2fadd0fca7a9,2025-10-24 17:21:08+00:00,2025-10-25 00:21:08+07:00,257.165,54.224,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Cẩm An,15.57,108.33,72434,Tam Ky,Chrome,,Viettel,Viettel Group,90719.0,92765.0,2,0,18390760-875a-bb8d-ja7g-0ihff7iag7a9,2025-10-24 17:36:40+00:00,2025-10-25 00:36:40+07:00,90.719,92.765,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309043.0,318602.0,8,0,18390900-033a-bb8d-ja9a-0addd3aaa9a9,2025-10-24 18:14:16+00:00,2025-10-25 01:14:16+07:00,309.043,318.602,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310009.0,318732.0,7,0,18390903-440a-bb8d-ja9a-3eeaa4eda9a9,2025-10-24 18:15:14+00:00,2025-10-25 01:15:14+07:00,310.009,318.732,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,311234.0,318637.0,6,0,18390936-795a-bb8d-ja9d-6hjff9hgd9a9,2025-10-24 18:24:37+00:00,2025-10-25 01:24:37+07:00,311.234,318.637,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,314447.0,297121.0,9,0,18390942-248a-bb8d-ja9e-2ceii4cce9a9,2025-10-24 18:26:09+00:00,2025-10-25 01:26:09+07:00,314.447,297.121,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,307855.0,318043.0,5,3,18391003-409a-bb8d-jb0a-3eajj0eda0b9,2025-10-24 18:43:28+00:00,2025-10-25 01:43:28+07:00,307.855,318.043,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,316847.0,297344.0,8,1,18391007-010a-bb8d-jb0a-7abaa1aha0b9,2025-10-24 18:44:32+00:00,2025-10-25 01:44:32+07:00,316.847,297.344,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,336572.0,297496.0,6,40,18391027-700a-bb8d-jb0c-7haaa0hhc0b9,2025-10-24 18:50:37+00:00,2025-10-25 01:50:37+07:00,336.572,297.496,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,304276.0,318193.0,10,8,18391050-163a-bb8d-jb0f-0bgdd6baf0b9,2025-10-24 18:57:17+00:00,2025-10-25 01:57:17+07:00,304.276,318.193,Viettel Group
