"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T12:26:43.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","127273.00","125977.00",7,0,"18389494-780a-bb8d-ij4j-4hiaa8hej4j8"
"2025-10-24T12:20:31.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","17937.00","16943.00",24,25,"18389471-654a-bb8d-ij4h-1gfee5gbh4j8"
"2025-10-24T12:15:02.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","310338.00","318696.00",7,2,"18389451-275a-bb8d-ij4f-1chff7cbf4j8"
"2025-10-24T12:08:06.000Z",,"2001:ee0:1b5::","Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","Chrome","n/a","Vinaphone","VNPT","93791.00","50831.00",37,18,"18389425-735a-bb8d-ij4c-5hdff3hfc4j8"
"2025-10-24T12:04:28.000Z",,"2402:800:6210::","Vietnam","Quảng Trị Province","Tho Xuan",16.85,107.03,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","46271.00","n/a",55,25,"18389412-824a-bb8d-ij4b-2icee2icb4j8"
"2025-10-24T12:04:23.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Cẩm An",15.57,108.33,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","623311.00","441725.00",3,0,"18389412-520a-bb8d-ij4b-2fcaa2fcb4j8"
"2025-10-24T12:03:38.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Cẩm An",15.57,108.33,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","642663.00","455942.00",4,0,"18389409-965a-bb8d-ij4a-9jgff6jja4j8"
"2025-10-24T12:01:19.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","310301.00","318621.00",7,0,"18389401-858a-bb8d-ij4a-1ifii5iba4j8"
"2025-10-24T11:56:18.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","300797.00","318675.00",9,0,"18389384-274a-bb8d-ij3i-4chee7cei3j8"
"2025-10-24T11:40:59.000Z",,"2001:ee0:4c7e::","Vietnam","Quang Nam Province","Phu Cuong",15.75,108.32,72434,"Tam Ky","EDGE","n/a","Vinaphone","VNPT","37833.00","30847.00",8,9,"18389331-465a-bb8d-ij3d-1egff6ebd3j8"
